bucket,cat,side,lo,n,avg_entry,best_roi_pct,best_dpd_baby,best_dpd_25ct,best_dpd_80ct,best_hit_rate,best_roi_per_trade,avg_pnl_cents,avg_capital_cents
ATP_CHALL_leader_55-59,ATP_CHALL,leader,55,16,58.1,7,-0.21,-0.53,-1.69,88%,-6.4,-3.7,58.1
ATP_CHALL_leader_60-64,ATP_CHALL,leader,60,50,62.1,15,0.63,1.59,5.08,92%,5.7,3.6,62.1
ATP_CHALL_leader_65-69,ATP_CHALL,leader,65,17,67.0,35,0.14,0.36,1.15,76%,3.5,2.4,67.0
ATP_CHALL_leader_70-74,ATP_CHALL,leader,70,47,71.6,7,-0.25,-0.63,-2.01,91%,-2.1,-1.5,71.6
ATP_CHALL_leader_75-79,ATP_CHALL,leader,75,33,76.8,25,1.57,3.94,12.60,94%,17.4,13.4,76.8
ATP_CHALL_leader_80-84,ATP_CHALL,leader,80,38,81.6,10,0.21,0.53,1.70,87%,1.9,1.6,81.6
ATP_CHALL_leader_85-89,ATP_CHALL,leader,85,5,85.6,7,0.11,0.27,0.86,100%,7.0,6.0,85.6
ATP_CHALL_underdog_15-19,ATP_CHALL,underdog,15,22,17.4,50,0.13,0.33,1.04,73%,9.6,1.7,17.4
ATP_CHALL_underdog_20-24,ATP_CHALL,underdog,20,43,22.0,250,0.56,1.39,4.46,33%,16.5,3.6,22.0
ATP_CHALL_underdog_25-29,ATP_CHALL,underdog,25,31,26.8,40,0.38,0.94,3.02,81%,12.7,3.4,26.8
ATP_CHALL_underdog_30-34,ATP_CHALL,underdog,30,33,31.7,50,0.03,0.08,0.26,67%,0.9,0.3,31.7
ATP_CHALL_underdog_35-39,ATP_CHALL,underdog,35,36,37.2,30,0.59,1.48,4.74,86%,12.4,4.6,37.2
ATP_CHALL_underdog_40-44,ATP_CHALL,underdog,40,35,41.3,100,1.03,2.57,8.23,60%,19.9,8.2,41.3
ATP_CHALL_underdog_45-49,ATP_CHALL,underdog,45,6,46.5,12,-0.06,-0.16,-0.50,83%,-6.3,-2.9,46.5
ATP_MAIN_leader_55-59,ATP_MAIN,leader,55,9,57.6,60,-0.20,-0.49,-1.58,56%,-10.7,-6.1,57.6
ATP_MAIN_leader_60-64,ATP_MAIN,leader,60,28,62.7,20,-0.07,-0.19,-0.60,82%,-1.2,-0.7,62.7
ATP_MAIN_leader_65-69,ATP_MAIN,leader,65,23,67.0,5,-0.47,-1.16,-3.73,87%,-8.5,-5.7,67.0
ATP_MAIN_leader_70-74,ATP_MAIN,leader,70,14,71.7,7,0.25,0.63,2.01,100%,7.0,5.0,71.7
ATP_MAIN_leader_75-79,ATP_MAIN,leader,75,14,76.8,20,0.11,0.28,0.89,86%,2.9,2.2,76.8
ATP_MAIN_underdog_20-24,ATP_MAIN,underdog,20,15,22.2,60,0.23,0.57,1.83,73%,19.3,4.3,22.2
ATP_MAIN_underdog_25-29,ATP_MAIN,underdog,25,8,26.4,15,0.11,0.28,0.90,100%,15.0,4.0,26.4
ATP_MAIN_underdog_30-34,ATP_MAIN,underdog,30,29,32.7,150,0.16,0.39,1.26,41%,4.6,1.5,32.7
ATP_MAIN_underdog_35-39,ATP_MAIN,underdog,35,21,37.6,75,0.48,1.21,3.86,67%,17.1,6.4,37.6
ATP_MAIN_underdog_40-44,ATP_MAIN,underdog,40,16,42.1,125,0.31,0.79,2.51,38%,13.1,5.5,42.1
WTA_MAIN_leader_50-54,WTA_MAIN,leader,50,6,53.5,40,0.19,0.48,1.52,83%,16.6,8.9,53.5
WTA_MAIN_leader_55-59,WTA_MAIN,leader,55,11,57.2,5,-0.32,-0.79,-2.52,82%,-14.0,-8.0,57.2
WTA_MAIN_leader_60-64,WTA_MAIN,leader,60,14,61.5,50,-0.10,-0.26,-0.83,64%,-3.4,-2.1,61.5
WTA_MAIN_leader_65-69,WTA_MAIN,leader,65,16,66.9,25,-0.23,-0.58,-1.87,75%,-6.1,-4.1,66.9
WTA_MAIN_leader_70-74,WTA_MAIN,leader,70,21,72.4,30,0.28,0.69,2.21,81%,5.1,3.7,72.4
WTA_MAIN_leader_80-84,WTA_MAIN,leader,80,13,81.2,20,0.06,0.14,0.45,77%,1.5,1.2,81.2
WTA_MAIN_leader_85-89,WTA_MAIN,leader,85,8,86.8,15,0.01,0.03,0.09,0%,0.4,0.4,86.8
WTA_MAIN_underdog_15-19,WTA_MAIN,underdog,15,9,17.3,400,0.40,1.00,3.20,33%,71.8,12.4,17.3
WTA_MAIN_underdog_20-24,WTA_MAIN,underdog,20,10,22.4,10,0.08,0.20,0.64,100%,10.0,2.2,22.4
WTA_MAIN_underdog_25-29,WTA_MAIN,underdog,25,17,27.0,60,0.36,0.91,2.90,76%,22.1,6.0,27.0
WTA_MAIN_underdog_30-34,WTA_MAIN,underdog,30,17,31.9,10,-0.05,-0.14,-0.43,88%,-2.8,-0.9,31.9
WTA_MAIN_underdog_35-39,WTA_MAIN,underdog,35,13,36.6,60,0.18,0.45,1.45,69%,10.7,3.9,36.6
WTA_MAIN_underdog_40-44,WTA_MAIN,underdog,40,13,42.5,150,0.17,0.42,1.36,0%,8.6,3.7,42.5
WTA_MAIN_underdog_45-49,WTA_MAIN,underdog,45,8,46.1,25,0.13,0.31,1.01,88%,9.6,4.4,46.1
