cell_id,dca_drop,exit_target,strategy_AB,n_trades,win_rate,mean_roi,median_roi,p25_roi,p75_roi,max_loss,total_pnl_baby
ATP_CHALL_leader_55-59,25,hold99,A,82,63.4,14.78,67.8,-100.0,74.7,760,5695
ATP_CHALL_leader_55-59,25,hold99,B,82,63.4,14.78,67.8,-100.0,74.7,760,5695
ATP_CHALL_leader_55-59,25,1,A,82,97.6,0.86,1.69,1.69,1.69,760,370
ATP_CHALL_leader_55-59,25,1,B,82,97.6,0.09,1.69,1.69,1.69,760,-110
ATP_CHALL_leader_55-59,25,2,A,82,96.3,1.26,3.39,3.39,3.39,760,410
ATP_CHALL_leader_55-59,25,2,B,82,96.3,0.49,3.39,3.39,3.39,760,-70
ATP_CHALL_leader_55-59,25,3,A,82,95.1,2.05,5.08,5.08,5.08,760,710
ATP_CHALL_leader_55-59,25,3,B,82,96.3,2.19,5.08,5.08,5.08,760,800
ATP_CHALL_leader_55-59,25,4,A,82,93.9,2.81,6.78,6.78,6.78,760,1010
ATP_CHALL_leader_55-59,25,4,B,82,95.1,2.59,6.78,6.78,6.78,760,875
ATP_CHALL_leader_55-59,25,5,A,82,92.7,3.54,8.47,8.47,8.47,760,1310
ATP_CHALL_leader_55-59,25,5,B,82,93.9,2.96,8.47,8.47,8.47,760,950
ATP_CHALL_leader_55-59,26,hold99,A,82,63.4,15.12,67.8,-100.0,75.02,755,5945
ATP_CHALL_leader_55-59,26,hold99,B,82,63.4,15.12,67.8,-100.0,75.02,755,5945
ATP_CHALL_leader_55-59,26,1,A,82,97.6,0.9,1.69,1.69,1.69,755,395
ATP_CHALL_leader_55-59,26,1,B,82,97.6,0.02,1.69,1.69,1.69,755,-145
ATP_CHALL_leader_55-59,26,2,A,82,96.3,1.3,3.39,3.39,3.39,755,440
ATP_CHALL_leader_55-59,26,2,B,82,96.3,0.43,3.39,3.39,3.39,755,-100
