event,tier,onsetQ_off_min,onsetT_off_min,W1_start_rel_min,W2_start_rel_min,corridor_start_rel_min,W1_flag,W2_detect
KXATPMATCH-26JUN24ALTBER,ATP_MAIN,12.2,13.0,12.2,13.0,-7.0,trim,True
KXATPMATCH-26JUN24BASGEN,ATP_MAIN,10.1,,10.1,,,trim,False
KXATPMATCH-26JUN24BERROD,ATP_MAIN,8.2,159.1,8.2,159.1,139.1,trim,True
KXATPMATCH-26JUN24BOYPEL,ATP_MAIN,115.1,,115.1,,,trim,False
KXATPMATCH-26JUN24BUDDOD,ATP_MAIN,225.0,254.0,225.0,254.0,234.0,trim,True
KXATPMATCH-26JUN24CASQUI,ATP_MAIN,12.0,55.0,12.0,55.0,35.0,trim,True
KXATPMATCH-26JUN24CORSAK,ATP_MAIN,54.0,13.1,54.0,13.1,-6.9,trim,True
KXATPMATCH-26JUN24DIAETC,ATP_MAIN,53.0,53.0,53.0,53.0,33.0,trim,True
KXATPMATCH-26JUN24DRAPIN,ATP_MAIN,90.1,105.2,90.1,105.2,85.2,trim,True
KXATPMATCH-26JUN24FERCER,ATP_MAIN,63.0,52.0,63.0,52.0,32.0,trim,True
KXATPMATCH-26JUN24GALTAR,ATP_MAIN,14.0,,14.0,,,trim,False
KXATPMATCH-26JUN24GAUSEA,ATP_MAIN,164.2,179.0,164.2,179.0,159.0,trim,True
KXATPMATCH-26JUN24GILCHO,ATP_MAIN,6.1,74.0,6.1,74.0,54.0,trim,True
KXATPMATCH-26JUN24HUMBRO,ATP_MAIN,-976.5,34.0,-976.5,34.0,14.0,EXTEND,True
KXATPMATCH-26JUN24HUSHAL,ATP_MAIN,10.0,,10.0,,,trim,False
KXATPMATCH-26JUN24JUBBAR,ATP_MAIN,-1710.6,171.0,-1710.6,171.0,151.0,EXTEND,True
KXATPMATCH-26JUN24KOPBUS,ATP_MAIN,8.0,9.0,8.0,9.0,-11.0,trim,True
KXATPMATCH-26JUN24KYMHOL,ATP_MAIN,139.1,166.0,139.1,166.0,146.0,trim,True
KXATPMATCH-26JUN24LLAMAR,ATP_MAIN,122.4,,122.4,,,trim,False
KXATPMATCH-26JUN24MCDCAR,ATP_MAIN,106.0,,106.0,,,trim,False
KXATPMATCH-26JUN24MEJHEI,ATP_MAIN,15.0,62.0,15.0,62.0,42.0,trim,True
KXATPMATCH-26JUN24MORMAY,ATP_MAIN,195.0,239.0,195.0,239.0,219.0,trim,True
KXATPMATCH-26JUN24NARVIR,ATP_MAIN,91.0,161.0,91.0,161.0,141.0,trim,True
KXATPMATCH-26JUN24ONCMOC,ATP_MAIN,11.0,44.0,11.0,44.0,24.0,trim,True
KXATPMATCH-26JUN24RODLAJ,ATP_MAIN,124.1,178.0,124.1,178.0,158.0,trim,True
KXATPMATCH-26JUN24SAMTIR,ATP_MAIN,-796.1,45.0,-796.1,45.0,25.0,EXTEND,True
KXATPMATCH-26JUN24SHEDIM,ATP_MAIN,68.0,68.0,68.0,68.0,48.0,trim,True
KXATPMATCH-26JUN24SMIECH,ATP_MAIN,174.1,196.0,174.1,196.0,176.0,trim,True
KXWTAMATCH-26JUN24ADETAN,WTA_MAIN,7.1,,7.1,,,trim,False
KXWTAMATCH-26JUN24ALEAND,WTA_MAIN,60.0,9.0,60.0,9.0,-11.0,trim,True
KXWTAMATCH-26JUN24ANDDAY,WTA_MAIN,105.1,,105.1,,,trim,False
KXWTAMATCH-26JUN24ANDTEI,WTA_MAIN,107.2,134.0,107.2,134.0,114.0,trim,True
KXWTAMATCH-26JUN24BOLKIN,WTA_MAIN,205.3,254.1,205.3,254.1,234.1,trim,True
KXWTAMATCH-26JUN24BOUKEY,WTA_MAIN,9.0,,9.0,,,trim,False
KXWTAMATCH-26JUN24CARVAN,WTA_MAIN,121.4,212.1,121.4,212.1,192.1,trim,True
KXWTAMATCH-26JUN24GARGRA,WTA_MAIN,8.2,,8.2,,,trim,False
KXWTAMATCH-26JUN24GASJON,WTA_MAIN,102.1,177.0,102.1,177.0,157.0,trim,True
KXWTAMATCH-26JUN24GORJEA,WTA_MAIN,89.2,131.0,89.2,131.0,111.0,trim,True
KXWTAMATCH-26JUN24IATBAI,WTA_MAIN,204.2,257.0,204.2,257.0,237.0,trim,True
KXWTAMATCH-26JUN24JORGJO,WTA_MAIN,121.3,177.1,121.3,177.1,157.1,trim,True
KXWTAMATCH-26JUN24KALRUS,WTA_MAIN,30.1,51.0,30.1,51.0,31.0,trim,True
KXWTAMATCH-26JUN24KAWSTE,WTA_MAIN,144.0,205.0,144.0,205.0,185.0,trim,True
KXWTAMATCH-26JUN24KESKAL,WTA_MAIN,2.0,,2.0,,,trim,False
KXWTAMATCH-26JUN24KORLAZ,WTA_MAIN,106.3,187.1,106.3,187.1,167.1,trim,True
KXWTAMATCH-26JUN24KRUHON,WTA_MAIN,115.5,198.0,115.5,198.0,178.0,trim,True
KXWTAMATCH-26JUN24KUDNGO,WTA_MAIN,181.0,,181.0,,,trim,False
KXWTAMATCH-26JUN24MARBIR,WTA_MAIN,6.3,32.0,6.3,32.0,12.0,trim,True
KXWTAMATCH-26JUN24MARZAK,WTA_MAIN,10.0,9.0,10.0,9.0,-11.0,trim,True
KXWTAMATCH-26JUN24MIKBRO,WTA_MAIN,151.1,177.1,151.1,177.1,157.1,trim,True
