exit_target,wr_pct,win_rate_pct,avg_cost_basis_c,roi_pct,ev_per_trade_dollars,n_trades,n_sold
+3c,91.2,91.2,66.6,-4.28,-0.458,57,52
+4c,89.5,89.5,67.4,-4.65,-0.509,57,51
+5c,89.5,89.5,67.4,-3.18,-0.412,57,51
+6c,89.5,89.5,68.7,-1.66,-0.3,57,51
+7c,87.7,87.7,69.9,-2.11,-0.346,57,50
+8c,84.2,84.2,70.7,-4.61,-0.575,57,48
+9c,80.7,80.7,71.1,-7.26,-0.818,57,46
+10c,80.7,80.7,71.1,-5.92,-0.727,57,46
+11c,78.9,78.9,71.5,-6.65,-0.805,57,45
+12c,77.2,77.2,72.4,-7.4,-0.876,57,44
+13c,77.2,77.2,73.2,-6.05,-0.765,57,44
+14c,73.7,73.7,73.6,-9.1,-1.036,57,42
+15c,73.7,73.7,74.0,-7.83,-0.937,57,42
+16c,73.7,73.7,74.4,-6.56,-0.836,57,42
+17c,73.7,73.7,74.8,-5.28,-0.733,57,42
+18c,73.7,73.7,75.2,-4.0,-0.629,57,42
+19c,71.9,71.9,75.2,-3.54,-0.605,57,41
+20c,71.9,71.9,75.2,-2.34,-0.518,57,41
+21c,70.2,70.2,76.0,-1.73,-0.455,57,40
+22c,70.2,70.2,76.0,-0.55,-0.369,57,40
+23c,70.2,70.2,76.0,0.63,-0.283,57,40
+24c,70.2,70.2,76.5,1.88,-0.176,57,40
+25c,70.2,70.2,77.3,3.19,-0.046,57,40
+26c,70.2,70.2,78.5,4.57,0.111,57,40
+27c,70.2,70.2,78.5,5.77,0.203,57,40
+28c,68.4,68.4,78.9,4.42,0.095,57,39
+29c,68.4,68.4,79.3,5.66,0.21,57,39
+30c,64.9,64.9,79.3,1.48,-0.158,57,37
hold99,59.6,59.6,79.7,4.16,0.031,57,34
