exit_target,wr_pct,win_rate_pct,avg_cost_basis_c,roi_pct,ev_per_trade_dollars,n_trades,n_sold
+3c,93.2,93.2,27.5,4.94,0.097,44,41
+4c,93.2,93.2,27.7,9.06,0.212,44,41
+5c,93.2,93.2,28.1,13.19,0.335,44,41
+6c,90.9,90.9,28.6,14.5,0.367,44,40
+7c,86.4,86.4,29.2,12.68,0.308,44,38
+8c,86.4,86.4,29.4,16.57,0.427,44,38
+9c,86.4,86.4,29.6,20.49,0.549,44,38
+10c,86.4,86.4,29.6,24.37,0.662,44,38
+11c,84.1,84.1,29.8,24.9,0.678,44,37
+12c,79.5,79.5,30.0,21.71,0.577,44,35
+13c,79.5,79.5,30.0,25.29,0.683,44,35
+14c,77.3,77.3,30.0,25.21,0.666,44,34
+15c,75.0,75.0,30.0,24.85,0.645,44,33
+16c,75.0,75.0,30.2,28.3,0.761,44,33
+17c,75.0,75.0,30.4,31.77,0.88,44,33
+18c,75.0,75.0,30.4,35.16,0.981,44,33
+19c,70.5,70.5,30.6,30.13,0.83,44,31
+20c,70.5,70.5,30.6,33.31,0.925,44,31
+21c,68.2,68.2,30.6,32.12,0.874,44,30
+22c,65.9,65.9,30.6,30.72,0.816,44,29
+23c,61.4,61.4,30.8,24.58,0.626,44,27
+24c,61.4,61.4,30.8,27.35,0.709,44,27
+25c,61.4,61.4,30.8,30.13,0.792,44,27
+26c,61.4,61.4,30.8,32.91,0.875,44,27
+27c,61.4,61.4,31.0,35.86,0.988,44,27
+28c,56.8,56.8,31.0,28.2,0.738,44,25
+29c,54.5,54.5,31.0,25.59,0.641,44,24
+30c,52.3,52.3,31.0,22.76,0.537,44,23
hold99,29.5,29.5,31.9,34.25,0.86,44,13
