exit_target,wr_pct,win_rate_pct,avg_cost_basis_c,roi_pct,ev_per_trade_dollars,n_trades,n_sold
+3c,83.8,83.8,71.3,-1.58,-0.211,37,31
+4c,83.8,83.8,72.8,-0.17,-0.101,37,31
+5c,83.8,83.8,73.5,1.21,0.005,37,31
+6c,75.7,75.7,77.1,-6.25,-0.646,37,28
+7c,75.7,75.7,77.8,-4.98,-0.541,37,28
+8c,75.7,75.7,77.8,-3.74,-0.445,37,28
+9c,75.7,75.7,79.3,-2.42,-0.322,37,28
+10c,73.0,73.0,80.0,-4.31,-0.492,37,27
+11c,73.0,73.0,80.0,-3.11,-0.396,37,27
+12c,73.0,73.0,80.0,-1.9,-0.3,37,27
+13c,73.0,73.0,80.0,-0.7,-0.204,37,27
+14c,73.0,73.0,80.7,0.55,-0.088,37,27
+15c,70.3,70.3,82.1,-1.52,-0.255,37,26
+16c,67.6,67.6,82.1,-3.82,-0.459,37,25
+17c,67.6,67.6,82.1,-2.7,-0.368,37,25
+18c,67.6,67.6,82.8,-1.53,-0.25,37,25
+19c,67.6,67.6,83.5,-0.34,-0.13,37,25
+20c,64.9,64.9,83.5,-2.82,-0.364,37,24
+21c,64.9,64.9,83.5,-1.74,-0.273,37,24
+22c,64.9,64.9,83.5,-0.66,-0.182,37,24
+23c,64.9,64.9,83.5,0.41,-0.092,37,24
+24c,62.2,62.2,83.5,-2.35,-0.334,37,23
+25c,62.2,62.2,83.5,-1.32,-0.247,37,23
+26c,59.5,59.5,83.5,-4.16,-0.514,37,22
+27c,59.5,59.5,83.5,-3.17,-0.431,37,22
+28c,59.5,59.5,83.5,-2.18,-0.349,37,22
+29c,59.5,59.5,83.5,-1.19,-0.266,37,22
+30c,59.5,59.5,83.5,-0.21,-0.184,37,22
hold99,54.1,54.1,84.2,-0.4,-0.201,37,20
