leader_cell,underdog_cell,n_paired_matches,exit_combo,both_win_pct,leader_win_pct,underdog_win_pct,combined_avg_pnl_c,combined_roi_pct
ATP_CHALL_leader_55-59,ATP_CHALL_underdog_30-34,1,both_hold99,0.0,100.0,0.0,85,7.42
ATP_CHALL_leader_55-59,ATP_CHALL_underdog_30-34,1,both_+7c,100.0,100.0,100.0,140,12.23
ATP_CHALL_leader_55-59,ATP_CHALL_underdog_30-34,1,both_+10c,100.0,100.0,100.0,200,17.47
ATP_CHALL_leader_55-59,ATP_CHALL_underdog_30-34,1,both_+15c,0.0,100.0,0.0,-165,-14.41
ATP_CHALL_leader_55-59,ATP_CHALL_underdog_30-34,1,both_+20c,0.0,100.0,0.0,-115,-10.04
ATP_CHALL_leader_55-59,ATP_CHALL_underdog_30-34,1,L+10_U+15,0.0,100.0,0.0,-215,-18.78
ATP_CHALL_leader_55-59,ATP_CHALL_underdog_30-34,1,L+10_U+20,0.0,100.0,0.0,-215,-18.78
ATP_CHALL_leader_55-59,ATP_CHALL_underdog_30-34,1,L+10_Uhold99,0.0,100.0,0.0,-215,-18.78
ATP_CHALL_leader_55-59,ATP_CHALL_underdog_30-34,1,L+15_U+10,100.0,100.0,100.0,250,21.83
ATP_CHALL_leader_55-59,ATP_CHALL_underdog_30-34,1,L+15_Uhold99,0.0,100.0,0.0,-165,-14.41
ATP_CHALL_leader_55-59,ATP_CHALL_underdog_30-34,1,Lhold99_U+10,100.0,100.0,100.0,500,43.67
ATP_CHALL_leader_55-59,ATP_CHALL_underdog_30-34,1,Lhold99_U+15,0.0,100.0,0.0,85,7.42
ATP_CHALL_leader_55-59,ATP_CHALL_underdog_35-39,17,both_hold99,0.0,76.5,23.5,90.6,6.48
ATP_CHALL_leader_55-59,ATP_CHALL_underdog_35-39,17,both_+7c,100.0,100.0,100.0,177.1,12.67
ATP_CHALL_leader_55-59,ATP_CHALL_underdog_35-39,17,both_+10c,100.0,100.0,100.0,263.5,18.85
ATP_CHALL_leader_55-59,ATP_CHALL_underdog_35-39,17,both_+15c,76.5,94.1,82.4,205.9,14.73
ATP_CHALL_leader_55-59,ATP_CHALL_underdog_35-39,17,both_+20c,64.7,94.1,70.6,263.2,18.83
ATP_CHALL_leader_55-59,ATP_CHALL_underdog_35-39,17,L+10_U+15,82.4,100.0,82.4,197.4,14.12
ATP_CHALL_leader_55-59,ATP_CHALL_underdog_35-39,17,L+10_U+20,70.6,100.0,70.6,191.5,13.7
ATP_CHALL_leader_55-59,ATP_CHALL_underdog_35-39,17,L+10_Uhold99,23.5,100.0,23.5,-55.9,-4.0
ATP_CHALL_leader_55-59,ATP_CHALL_underdog_35-39,17,L+15_U+10,94.1,94.1,100.0,272.1,19.46
ATP_CHALL_leader_55-59,ATP_CHALL_underdog_35-39,17,L+15_Uhold99,17.6,94.1,23.5,-47.4,-3.39
