cell_id,band_id,band_x,per_cell_x,per_cell_n,per_cell_pnl
5,0,32,15,21,6.8
6,0,32,32,25,6.0
7,1,65,65,26,19.9
8,2,HOLD,HOLD,18,16.8
9,2,HOLD,HOLD,23,50.2
10,3,1,1,31,0.1
11,4,17,17,28,12.5
12,4,17,17,21,18.9
13,5,42,42,23,21.0
14,5,42,51,26,17.4
15,5,42,57,24,9.0
16,6,4,4,40,2.7
17,7,HOLD,HOLD,40,43.8
18,8,52,57,37,25.9
19,8,52,70,30,34.0
20,8,52,52,35,40.0
21,9,8,8,33,9.6
22,10,45,45,38,52.2
23,11,23,23,37,17.6
24,12,38,38,34,25.5
25,13,24,24,49,12.0
26,14,70,HOLD,52,46.4
27,14,70,HOLD,35,16.8
28,14,70,70,51,66.0
29,15,30,30,52,16.8
30,15,30,30,59,39.3
31,16,4,4,43,7.0
32,17,30,30,57,24.6
33,18,42,42,41,39.0
34,18,42,24,53,1.8
35,19,28,28,69,44.4
36,20,37,37,62,27.8
37,20,37,39,55,42.0
38,21,1,1,64,-12.6
39,21,1,1,65,-5.2
40,21,1,1,63,-5.7
41,22,31,31,64,56.4
42,23,6,6,62,-0.4
43,24,53,53,50,27.5
44,24,53,54,57,16.8
45,25,45,45,61,52.0
46,25,45,45,65,49.5
47,26,17,17,59,5.8
48,27,8,1,51,-9.3
49,27,8,8,41,27.2
50,28,HOLD,HOLD,53,63.7
51,29,38,36,35,14.2
52,29,38,38,49,8.2
53,30,1,1,49,-5.7
54,30,1,3,48,8.8
55,31,HOLD,HOLD,48,34.8
56,31,HOLD,33,78,37.4
57,32,1,1,61,0.4
58,33,19,19,65,9.5
59,34,40,40,66,77.8
60,35,34,20,57,3.4
61,35,34,34,68,43.2
62,36,9,9,66,10.4
63,37,36,36,73,47.2
64,37,36,10,71,5.3
65,38,1,1,79,-5.1
66,39,32,32,57,46.6
67,40,3,1,64,-13.7
68,40,3,3,59,-3.3
69,41,29,29,48,32.5
70,42,17,17,48,21.4
71,43,26,26,56,20.8
72,44,1,1,50,5.0
73,45,4,4,59,-6.8
74,46,14,14,59,13.0
75,47,1,7,52,12.1
76,47,1,5,52,10.0
77,47,1,1,54,-2.3
78,48,14,14,45,35.7
79,49,19,19,35,18.0
80,50,1,5,47,-1.7
81,50,1,1,36,-4.5
82,51,6,6,37,-12.6
83,52,13,14,42,20.4
84,52,13,15,43,5.7
85,52,13,13,32,32.0
86,52,13,13,36,17.4
87,53,10,10,25,5.8
88,53,10,11,24,6.8
89,53,10,8,24,9.6
90,53,10,HOLD,19,7.3
91,54,4,4,29,11.6
92,54,4,4,20,8.0
93,54,4,1,28,-15.8
94,54,4,5,21,10.5
