ts_ET,leg,phase,best_bid,best_ask,bid_depth,ask_depth,last_traded_price,last_traded_side,last_traded_size,our_bid
00:00:14.70,Jurij Rodionov,window1,71,72,212,546,,,,
00:00:14.70,Oliver Crawford,window1,28,29,470,859,,,,
00:00:37.30,Jurij Rodionov,window1,71,72,212,546,,,,
00:00:37.30,Oliver Crawford,window1,28,29,470,859,,,,
00:00:52.15,Jurij Rodionov,window1,71,72,212,546,,,,
00:00:52.15,Oliver Crawford,window1,28,29,470,859,,,,
00:01:07.86,Jurij Rodionov,window1,71,72,212,546,,,,
00:01:07.86,Oliver Crawford,window1,28,29,470,859,,,,
00:01:22.06,Oliver Crawford,window1,28,29,470,859,,,,
00:01:36.42,Oliver Crawford,window1,28,29,470,859,,,,
00:01:50.87,Jurij Rodionov,window1,71,72,212,561,,,,
00:02:05.61,Oliver Crawford,window1,28,29,470,856,,,,
00:02:19.20,Jurij Rodionov,window1,71,72,212,990,,,,
00:02:33.72,Oliver Crawford,window1,28,29,914,856,,,,
00:02:49.01,Jurij Rodionov,window1,71,72,212,990,,,,
00:03:05.18,Jurij Rodionov,window1,71,72,212,990,,,,
00:03:05.18,Oliver Crawford,window1,28,29,914,856,,,,
00:03:20.91,Jurij Rodionov,window1,71,72,212,990,,,,
00:03:20.91,Oliver Crawford,window1,28,29,914,856,,,,
00:04:08.80,Jurij Rodionov,window1,71,72,212,990,,,,
00:04:08.80,Oliver Crawford,window1,28,29,914,856,,,,
00:04:39.56,Jurij Rodionov,window1,71,72,212,990,,,,
00:04:39.56,Oliver Crawford,window1,28,29,914,856,,,,
00:05:15.09,Jurij Rodionov,window1,71,72,212,990,,,,
00:05:15.09,Oliver Crawford,window1,28,29,914,856,,,,
00:05:30.51,Jurij Rodionov,window1,71,72,212,990,,,,
00:05:30.51,Oliver Crawford,window1,28,29,914,856,,,,
00:05:46.95,Jurij Rodionov,window1,71,72,212,1005,,,,
00:05:46.95,Oliver Crawford,window1,28,29,914,856,,,,
00:06:02.68,Jurij Rodionov,window1,71,72,212,990,,,,
00:06:02.68,Oliver Crawford,window1,28,29,914,856,,,,
00:06:17.60,Jurij Rodionov,window1,71,72,212,990,,,,
00:06:32.13,Jurij Rodionov,window1,71,72,192,990,,,,
00:06:32.13,Oliver Crawford,window1,28,29,914,839,,,,
00:06:47.00,Oliver Crawford,window1,28,29,914,839,,,,
00:07:01.67,Jurij Rodionov,window1,71,72,192,1005,,,,
00:07:01.67,Oliver Crawford,window1,28,29,914,839,,,,
00:07:31.27,Jurij Rodionov,window1,71,72,192,1005,,,,
00:07:31.27,Oliver Crawford,window1,28,29,914,839,,,,
00:07:45.72,Jurij Rodionov,window1,71,72,192,990,,,,
00:07:45.72,Oliver Crawford,window1,28,29,914,839,,,,
00:08:15.17,Jurij Rodionov,window1,71,72,192,990,,,,
00:08:15.17,Oliver Crawford,window1,28,29,914,839,,,,
00:08:44.42,Jurij Rodionov,window1,71,72,192,990,,,,
00:08:44.42,Oliver Crawford,window1,28,29,914,839,,,,
00:08:59.21,Jurij Rodionov,window1,71,72,192,990,,,,
00:08:59.21,Oliver Crawford,window1,28,29,914,839,,,,
00:09:16.18,Jurij Rodionov,window1,71,72,192,1005,,,,
00:09:16.18,Oliver Crawford,window1,28,29,914,839,,,,
00:09:32.73,Jurij Rodionov,window1,71,72,192,1005,,,,
00:09:32.73,Oliver Crawford,window1,28,29,914,839,,,,
00:09:49.95,Jurij Rodionov,window1,71,72,192,1005,,,,
00:09:49.95,Oliver Crawford,window1,28,29,914,839,,,,
00:10:11.42,Jurij Rodionov,window1,71,72,192,990,,,,
00:10:11.42,Oliver Crawford,window1,28,29,914,839,,,,
00:10:41.28,Jurij Rodionov,window1,71,72,192,1005,,,,
00:10:41.28,Oliver Crawford,window1,28,29,914,839,,,,
00:11:12.24,Jurij Rodionov,window1,71,72,192,990,,,,
00:11:12.24,Oliver Crawford,window1,28,29,914,839,,,,
