ts_ET,rodionov_best_ask,crawford_actual_fill_cent,running_pair_basis,basis_under_100
06:30:00,69,31,100,False
06:30:30,69,31,100,False
06:31:00,69,31,100,False
06:31:30,69,31,100,False
06:32:00,69,31,100,False
06:32:30,69,31,100,False
06:33:00,69,31,100,False
06:33:30,69,31,100,False
06:34:00,69,31,100,False
06:34:30,69,31,100,False
06:35:00,69,31,100,False
06:35:30,69,31,100,False
06:36:00,69,31,100,False
06:36:30,69,31,100,False
06:37:00,69,31,100,False
06:37:30,69,31,100,False
06:38:00,69,31,100,False
06:38:30,69,31,100,False
06:39:00,69,31,100,False
06:39:30,69,31,100,False
06:40:00,69,31,100,False
06:40:30,69,31,100,False
06:41:00,69,31,100,False
06:41:30,69,31,100,False
06:42:00,69,31,100,False
06:42:30,69,31,100,False
06:43:00,69,31,100,False
06:43:30,69,31,100,False
06:44:00,69,31,100,False
06:44:30,69,31,100,False
06:45:00,69,31,100,False
06:45:30,69,31,100,False
06:46:00,69,31,100,False
06:46:30,69,31,100,False
06:47:00,69,31,100,False
06:47:30,69,31,100,False
06:48:00,69,31,100,False
06:48:30,69,31,100,False
06:49:00,69,31,100,False
06:49:30,69,31,100,False
06:50:00,69,31,100,False
06:50:30,69,31,100,False
06:51:00,69,31,100,False
06:51:30,69,31,100,False
06:52:00,69,31,100,False
06:52:30,69,31,100,False
06:53:00,69,31,100,False
06:53:30,69,31,100,False
06:54:00,69,31,100,False
06:54:30,69,31,100,False
06:55:00,69,31,100,False
06:55:30,69,31,100,False
06:56:00,69,31,100,False
06:56:30,69,31,100,False
06:57:00,69,31,100,False
06:57:30,69,31,100,False
06:58:00,69,31,100,False
06:58:30,69,31,100,False
06:59:00,69,31,100,False
06:59:30,69,31,100,False
07:00:00,69,31,100,False
07:00:30,69,31,100,False
07:01:00,69,31,100,False
07:01:30,69,31,100,False
07:02:00,69,31,100,False
07:02:30,69,31,100,False
07:03:00,69,31,100,False
07:03:30,69,31,100,False
07:04:00,69,31,100,False
07:04:30,69,31,100,False
07:05:00,69,31,100,False
07:05:30,69,31,100,False
07:06:00,69,31,100,False
07:06:30,69,31,100,False
07:07:00,69,31,100,False
07:07:30,69,31,100,False
07:08:00,69,31,100,False
07:08:30,69,31,100,False
07:09:00,69,31,100,False
07:09:30,69,31,100,False
07:10:00,69,31,100,False
07:10:30,69,31,100,False
07:11:00,69,31,100,False
07:11:30,69,31,100,False
07:12:00,69,31,100,False
07:12:30,69,31,100,False
07:13:00,69,31,100,False
07:13:30,69,31,100,False
07:14:00,69,31,100,False
07:14:30,69,31,100,False
07:15:00,69,31,100,False
07:15:30,69,31,100,False
07:16:00,69,31,100,False
07:16:30,69,31,100,False
07:17:00,69,31,100,False
07:17:30,69,31,100,False
07:18:00,69,31,100,False
07:18:30,69,31,100,False
07:19:00,69,31,100,False
07:19:30,69,31,100,False
07:20:00,69,31,100,False
07:20:30,69,31,100,False
07:21:00,69,31,100,False
07:21:30,69,31,100,False
07:22:00,69,31,100,False
07:22:30,69,31,100,False
07:23:00,69,31,100,False
07:23:30,69,31,100,False
07:24:00,69,31,100,False
07:24:30,69,31,100,False
07:25:00,69,31,100,False
07:25:30,69,31,100,False
07:26:00,69,31,100,False
07:26:30,69,31,100,False
07:27:00,69,31,100,False
07:27:30,69,31,100,False
07:28:00,69,31,100,False
07:28:30,69,31,100,False
07:29:00,69,31,100,False
07:29:30,69,31,100,False
07:30:00,69,31,100,False
07:30:30,69,31,100,False
07:31:00,69,31,100,False
07:31:30,69,31,100,False
07:32:00,69,31,100,False
07:32:30,69,31,100,False
07:33:00,69,31,100,False
07:33:30,69,31,100,False
07:34:00,69,31,100,False
07:34:30,69,31,100,False
07:35:00,69,31,100,False
07:35:30,69,31,100,False
07:36:00,69,31,100,False
07:36:30,69,31,100,False
07:37:00,69,31,100,False
07:37:30,69,31,100,False
07:38:00,69,31,100,False
07:38:30,69,31,100,False
07:39:00,69,31,100,False
07:39:30,69,31,100,False
07:40:00,69,31,100,False
07:40:30,69,31,100,False
07:41:00,69,31,100,False
07:41:30,69,31,100,False
07:42:00,69,31,100,False
07:42:30,69,31,100,False
07:43:00,69,31,100,False
07:43:30,69,31,100,False
07:44:00,69,31,100,False
07:44:30,69,31,100,False
07:45:00,69,31,100,False
07:45:30,69,31,100,False
07:46:00,69,31,100,False
07:46:30,69,31,100,False
07:47:00,69,31,100,False
07:47:30,69,31,100,False
07:48:00,69,31,100,False
07:48:30,69,31,100,False
07:49:00,69,31,100,False
07:49:30,69,31,100,False
07:50:00,69,31,100,False
07:50:30,69,31,100,False
07:51:00,69,31,100,False
07:51:30,69,31,100,False
07:52:00,69,31,100,False
07:52:30,69,31,100,False
07:53:00,69,31,100,False
07:53:30,69,31,100,False
07:54:00,69,31,100,False
07:54:30,69,31,100,False
07:55:00,69,31,100,False
07:55:30,69,31,100,False
07:56:00,69,31,100,False
07:56:30,69,31,100,False
07:57:00,69,31,100,False
07:57:30,69,31,100,False
07:58:00,69,31,100,False
07:58:30,69,31,100,False
07:59:00,69,31,100,False
07:59:30,69,31,100,False
08:00:00,69,31,100,False
08:00:30,69,31,100,False
08:01:00,69,31,100,False
08:01:30,69,31,100,False
08:02:00,69,31,100,False
08:02:30,69,31,100,False
08:03:00,69,31,100,False
08:03:30,69,31,100,False
08:04:00,69,31,100,False
08:04:30,69,31,100,False
08:05:00,69,31,100,False
08:05:30,69,31,100,False
08:06:00,69,31,100,False
08:06:30,69,31,100,False
08:07:00,69,31,100,False
08:07:30,69,31,100,False
08:08:00,69,31,100,False
08:08:30,69,31,100,False
08:09:00,69,31,100,False
08:09:30,69,31,100,False
08:10:00,69,31,100,False
08:10:30,69,31,100,False
08:11:00,69,31,100,False
08:11:30,69,31,100,False
08:12:00,69,31,100,False
08:12:30,69,31,100,False
08:13:00,69,31,100,False
08:13:30,69,31,100,False
08:14:00,69,31,100,False
08:14:30,69,31,100,False
08:15:00,69,31,100,False
08:15:30,69,31,100,False
08:16:00,69,31,100,False
08:16:30,69,31,100,False
08:17:00,69,31,100,False
08:17:30,69,31,100,False
08:18:00,69,31,100,False
08:18:30,69,31,100,False
08:19:00,69,31,100,False
08:19:30,69,31,100,False
08:20:00,69,31,100,False
08:20:30,69,31,100,False
08:21:00,69,31,100,False
08:21:30,69,31,100,False
08:22:00,69,31,100,False
08:22:30,69,31,100,False
08:23:00,69,31,100,False
08:23:30,69,31,100,False
08:24:00,69,31,100,False
08:24:30,69,31,100,False
08:25:00,69,31,100,False
08:25:30,69,31,100,False
08:26:00,69,31,100,False
08:26:30,69,31,100,False
08:27:00,69,31,100,False
08:27:30,69,31,100,False
08:28:00,69,31,100,False
08:28:30,69,31,100,False
08:29:00,69,31,100,False
08:29:30,69,31,100,False
08:30:00,69,31,100,False
08:30:30,69,31,100,False
08:31:00,69,31,100,False
08:31:30,69,31,100,False
08:32:00,69,31,100,False
08:32:30,69,31,100,False
08:33:00,69,31,100,False
08:33:30,69,31,100,False
08:34:00,69,31,100,False
08:34:30,69,31,100,False
08:35:00,69,31,100,False
08:35:30,69,31,100,False
08:36:00,69,31,100,False
08:36:30,69,31,100,False
08:37:00,69,31,100,False
08:37:30,69,31,100,False
08:38:00,69,31,100,False
08:38:30,69,31,100,False
08:39:00,69,31,100,False
08:39:30,69,31,100,False
08:40:00,69,31,100,False
08:40:30,69,31,100,False
08:41:00,69,31,100,False
08:41:30,69,31,100,False
08:42:00,69,31,100,False
08:42:30,69,31,100,False
08:43:00,69,31,100,False
08:43:30,69,31,100,False
08:44:00,69,31,100,False
08:44:30,69,31,100,False
08:45:00,69,31,100,False
08:45:30,69,31,100,False
08:46:00,69,31,100,False
08:46:30,69,31,100,False
08:47:00,69,31,100,False
08:47:30,69,31,100,False
08:48:00,69,31,100,False
08:48:30,69,31,100,False
08:49:00,69,31,100,False
08:49:30,69,31,100,False
08:50:00,69,31,100,False
08:50:30,69,31,100,False
08:51:00,69,31,100,False
08:51:30,69,31,100,False
08:52:00,69,31,100,False
08:52:30,69,31,100,False
08:53:00,69,31,100,False
08:53:30,69,31,100,False
08:54:00,69,31,100,False
08:54:30,69,31,100,False
08:55:00,69,31,100,False
08:55:30,69,31,100,False
08:56:00,69,31,100,False
08:56:30,69,31,100,False
08:57:00,69,31,100,False
08:57:30,69,31,100,False
08:58:00,69,31,100,False
08:58:30,69,31,100,False
08:59:00,69,31,100,False
08:59:30,69,31,100,False
09:00:00,69,31,100,False
09:00:30,69,31,100,False
09:01:00,69,31,100,False
09:01:30,69,31,100,False
09:02:00,69,31,100,False
09:02:30,69,31,100,False
09:03:00,69,31,100,False
09:03:30,69,31,100,False
09:04:00,69,31,100,False
09:04:30,69,31,100,False
09:05:00,69,31,100,False
09:05:30,69,31,100,False
09:06:00,69,31,100,False
09:06:30,69,31,100,False
09:07:00,69,31,100,False
09:07:30,69,31,100,False
09:08:00,69,31,100,False
09:08:30,69,31,100,False
09:09:00,69,31,100,False
09:09:30,69,31,100,False
09:10:00,69,31,100,False
09:10:30,69,31,100,False
09:11:00,69,31,100,False
09:11:30,70,31,101,False
09:12:00,70,31,101,False
09:12:30,70,31,101,False
09:13:00,70,31,101,False
09:13:30,70,31,101,False
09:14:00,70,31,101,False
09:14:30,70,31,101,False
09:15:00,70,31,101,False
09:15:30,70,31,101,False
09:16:00,70,31,101,False
09:16:30,70,31,101,False
09:17:00,70,31,101,False
09:17:30,70,31,101,False
09:18:00,70,31,101,False
09:18:30,70,31,101,False
09:19:00,70,31,101,False
09:19:30,70,31,101,False
09:20:00,70,31,101,False
09:20:30,70,31,101,False
09:21:00,70,31,101,False
09:21:30,70,31,101,False
09:22:00,70,31,101,False
09:22:30,70,31,101,False
09:23:00,70,31,101,False
09:23:30,70,31,101,False
09:24:00,70,31,101,False
09:24:30,70,31,101,False
09:25:00,70,31,101,False
09:25:30,70,31,101,False
09:26:00,70,31,101,False
09:26:30,70,31,101,False
09:27:00,70,31,101,False
09:27:30,70,31,101,False
09:28:00,70,31,101,False
09:28:30,70,31,101,False
09:29:00,70,31,101,False
09:29:30,70,31,101,False
09:30:00,70,31,101,False
09:30:30,70,31,101,False
09:31:00,70,31,101,False
09:31:30,70,31,101,False
09:32:00,70,31,101,False
09:32:30,70,31,101,False
09:33:00,70,31,101,False
09:33:30,70,31,101,False
09:34:00,70,31,101,False
09:34:30,70,31,101,False
09:35:00,70,31,101,False
09:35:30,70,31,101,False
09:36:00,70,31,101,False
09:36:30,70,31,101,False
09:37:00,70,31,101,False
09:37:30,70,31,101,False
09:38:00,70,31,101,False
09:38:30,70,31,101,False
09:39:00,70,31,101,False
09:39:30,70,31,101,False
09:40:00,70,31,101,False
09:40:30,70,31,101,False
09:41:00,70,31,101,False
09:41:30,70,31,101,False
09:42:00,70,31,101,False
09:42:30,70,31,101,False
09:43:00,70,31,101,False
09:43:30,70,31,101,False
09:44:00,70,31,101,False
