day,fill_ts_ET,player,category,fill_cent,source,real_start_source,bucket,event
20260619,03:22:24,Madison Keys,WTA_MAIN,41,engagement,latch,PREMARKET,KXWTAMATCH-26JUN19PEGKEY
20260619,03:40:43,Cassone M.,ATP_MAIN,35,engagement,scheduled_fallback,PREMARKET,KXATPMATCH-26JUN20ROMCAS
20260619,03:49:46,Sobolieva A.,WTA_CHALL,37,engagement,scheduled_fallback,PREMARKET,KXWTACHALLENGERMATCH-26JUN19SOBMIN
20260619,04:39:02,Mintegi Del Olmo A.,WTA_CHALL,63,fallback,scheduled_fallback,POST_SCHEDULED,KXWTACHALLENGERMATCH-26JUN19SOBMIN
20260619,04:40:55,Ito A.,WTA_MAIN,19,staircase,latch,PREMARKET,KXWTAMATCH-26JUN20PARITO
20260619,04:52:18,Ghibaudo A.,ATP_MAIN,58,staircase,latch,PREMARKET,KXATPMATCH-26JUN20GHIBAR
20260619,05:01:17,Osorio C.,WTA_MAIN,42,engagement,latch,PREMARKET,KXWTAMATCH-26JUN20OSOTOM
20260619,05:05:57,Begu I.,WTA_MAIN,39,staircase,scheduled_fallback,POST_SCHEDULED,KXWTAMATCH-26JUN20BEGKOR
20260619,05:10:20,DE?,ATP_MAIN,72,engagement,scheduled_fallback,PREMARKET,KXATPMATCH-26JUN18DENAK
20260619,05:10:22,Korpatsch T.,WTA_MAIN,56,staircase,scheduled_fallback,POST_SCHEDULED,KXWTAMATCH-26JUN20BEGKOR
20260619,05:12:26,Bar Biryukov P.,ATP_MAIN,39,staircase,latch,POST_REAL,KXATPMATCH-26JUN20GHIBAR
20260619,05:14:43,Anna Blinkova,WTA_MAIN,70,engagement,scheduled_fallback,PREMARKET,KXWTAMATCH-26JUN20BLIAVD
20260619,05:14:44,Julia Avdeeva,WTA_MAIN,49,engagement,scheduled_fallback,PREMARKET,KXWTAMATCH-26JUN20BLIAVD
20260619,05:18:57,Gray A.,ATP_MAIN,32,staircase,scheduled_fallback,PREMARKET,KXATPMATCH-26JUN20ARNGRA
20260619,05:23:23,Sesko Z.,ATP_MAIN,17,staircase,latch,CORRIDOR,KXATPMATCH-26JUN20MOLSES
20260619,05:33:44,Navarro E.,WTA_MAIN,66,engagement,latch,PREMARKET,KXWTAMATCH-26JUN19BOUNAV
20260619,05:38:51,Daniel Rincon,ATP_MAIN,48,engagement,scheduled_fallback,PREMARKET,KXATPMATCH-26JUN20MACRIN
20260619,05:38:59,Jamie Mackenzie,ATP_MAIN,70,engagement,scheduled_fallback,PREMARKET,KXATPMATCH-26JUN20MACRIN
20260619,05:39:08,MED?,ATP_MAIN,45,engagement,scheduled_fallback,NO_SCHEDULE,KXATPMATCH-26JUN17MEDHUM
20260619,05:39:37,Droguet T.,ATP_CHALL,60,resting_maker,scheduled_fallback,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN19DROROD
20260619,05:45:00,Searle H.,ATP_CHALL,43,fallback,scheduled_fallback,PREMARKET,KXATPCHALLENGERMATCH-26JUN19JACSEA
20260619,06:02:06,Aryna Sabalenka,WTA_MAIN,62,staircase,scheduled_fallback,POST_SCHEDULED,KXWTAMATCH-26JUN20SABPEG
20260619,06:04:18,Jil Teichmann,WTA_CHALL,52,fallback,scheduled_fallback,POST_SCHEDULED,KXWTACHALLENGERMATCH-26JUN19VIDTEI
20260619,06:04:50,Yeonwoo Ku,WTA_CHALL,39,fallback,scheduled_fallback,POST_SCHEDULED,KXWTACHALLENGERMATCH-26JUN20YEOVID
20260619,06:05:28,Darja Vidmanova,WTA_CHALL,60,fallback,scheduled_fallback,POST_SCHEDULED,KXWTACHALLENGERMATCH-26JUN20YEOVID
20260619,06:05:41,Darja Vidmanova,WTA_CHALL,46,fallback,scheduled_fallback,POST_SCHEDULED,KXWTACHALLENGERMATCH-26JUN19VIDTEI
20260619,06:07:32,Tatjana Maria,WTA_MAIN,42,fallback,latch,CORRIDOR,KXWTAMATCH-26JUN19BOUMAR
20260619,06:08:50,Rolland De Ravel C.,ATP_CHALL,51,fallback,scheduled_fallback,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN19ROLRAT
20260619,06:09:18,Halys Q.,ATP_MAIN,55,staircase,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN20SAMHAL
20260619,06:10:19,Arnaldi M.,ATP_MAIN,65,staircase,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN20ARNGRA
20260619,06:10:32,Ribecai M.,ATP_CHALL,22,fallback,scheduled_fallback,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN19RIBDIA
20260619,06:11:04,Linda Noskova,WTA_MAIN,67,engagement,scheduled_fallback,PREMARKET,KXWTAMATCH-26JUN19NOSBAD
