category,c,regime,placement_minute,bid_offset_cents,prev_offset,envelope_off60,expected_fill_rate,expected_net_roi_pct,fill_src
ATP_MAIN,5,r05_14,240,1,1,2,0.354,83.5629,conservative
ATP_MAIN,6,r05_14,240,1,1,2,0.37,83.5629,conservative
ATP_MAIN,7,r05_14,240,1,1,2,0.391,83.5629,conservative
ATP_MAIN,8,r05_14,240,1,1,2,0.403,83.5629,conservative
ATP_MAIN,9,r05_14,240,1,1,2,0.419,83.5629,conservative
ATP_MAIN,10,r05_14,240,1,1,2,0.427,83.5629,conservative
ATP_MAIN,11,r05_14,240,1,1,2,0.437,83.5629,conservative
ATP_MAIN,12,r05_14,240,1,1,2,0.461,83.5629,conservative
ATP_MAIN,13,r05_14,240,1,1,2,0.476,83.5629,conservative
ATP_MAIN,14,r05_14,240,1,1,2,0.5,83.5629,conservative
ATP_MAIN,15,r15_24,240,1,2,2,0.508,43.1403,conservative
ATP_MAIN,16,r15_24,240,1,2,2,0.516,43.1403,conservative
ATP_MAIN,17,r15_24,240,1,2,2,0.535,43.1403,conservative
ATP_MAIN,18,r15_24,240,1,2,2,0.528,43.1403,conservative
ATP_MAIN,19,r15_24,240,1,2,2,0.545,43.1403,conservative
ATP_MAIN,20,r15_24,240,1,2,2,0.561,43.1403,conservative
ATP_MAIN,21,r15_24,240,1,2,2,0.56,43.1403,conservative
ATP_MAIN,22,r15_24,240,1,2,2,0.576,43.1403,conservative
ATP_MAIN,23,r15_24,240,1,2,2,0.58,43.1403,conservative
ATP_MAIN,24,r15_24,240,1,2,2,0.574,43.1403,conservative
ATP_MAIN,25,r25_34,240,1,1,2,0.585,20.9094,conservative
ATP_MAIN,26,r25_34,240,1,1,2,0.585,20.9094,conservative
ATP_MAIN,27,r25_34,240,1,1,2,0.58,20.9094,conservative
ATP_MAIN,28,r25_34,240,1,1,2,0.573,20.9094,conservative
ATP_MAIN,29,r25_34,240,1,1,2,0.568,20.9094,conservative
ATP_MAIN,30,r25_34,240,1,1,2,0.568,20.9094,conservative
ATP_MAIN,31,r25_34,240,1,1,2,0.553,20.9094,conservative
ATP_MAIN,32,r25_34,240,1,1,2,0.549,20.9094,conservative
ATP_MAIN,33,r25_34,240,1,1,2,0.556,20.9094,conservative
ATP_MAIN,34,r25_34,240,1,1,2,0.545,20.9094,conservative
ATP_MAIN,35,r35_44,120,1,1,2,0.548,9.4801,conservative
ATP_MAIN,36,r35_44,120,1,1,2,0.562,9.4801,conservative
ATP_MAIN,37,r35_44,120,1,1,2,0.558,9.4801,conservative
ATP_MAIN,38,r35_44,120,1,1,2,0.552,9.4801,conservative
ATP_MAIN,39,r35_44,120,1,1,2,0.567,9.4801,conservative
ATP_MAIN,40,r35_44,120,1,1,2,0.567,9.4801,conservative
ATP_MAIN,41,r35_44,120,1,1,3,0.565,9.4801,conservative
ATP_MAIN,42,r35_44,120,1,1,3,0.582,9.4801,conservative
ATP_MAIN,43,r35_44,120,1,1,3,0.587,9.4801,conservative
ATP_MAIN,44,r35_44,120,1,1,3,0.585,9.4801,conservative
ATP_MAIN,45,r45_54,120,1,2,3,0.595,10.9063,conservative
ATP_MAIN,46,r45_54,120,1,2,3,0.595,10.9063,conservative
ATP_MAIN,47,r45_54,120,1,2,3,0.582,10.9063,conservative
ATP_MAIN,48,r45_54,120,1,2,3,0.585,10.9063,conservative
ATP_MAIN,49,r45_54,120,1,2,3,0.579,10.9063,conservative
ATP_MAIN,50,r45_54,120,1,2,3,0.57,10.9063,conservative
ATP_MAIN,51,r45_54,120,1,2,3,0.58,10.9063,conservative
ATP_MAIN,52,r45_54,120,1,2,3,0.572,10.9063,conservative
ATP_MAIN,53,r45_54,120,1,2,3,0.56,10.9063,conservative
ATP_MAIN,54,r45_54,120,1,2,3,0.551,10.9063,conservative
ATP_MAIN,55,r55_64,180,1,2,3,0.531,9.8542,conservative
ATP_MAIN,56,r55_64,180,1,2,3,0.517,9.8542,conservative
ATP_MAIN,57,r55_64,180,1,2,3,0.526,9.8542,conservative
ATP_MAIN,58,r55_64,180,1,2,3,0.533,9.8542,conservative
ATP_MAIN,59,r55_64,180,1,2,3,0.536,9.8542,conservative
ATP_MAIN,60,r55_64,180,1,2,3,0.524,9.8542,conservative
ATP_MAIN,61,r55_64,180,1,2,3,0.511,9.8542,conservative
ATP_MAIN,62,r55_64,180,1,2,3,0.503,9.8542,conservative
ATP_MAIN,63,r55_64,180,1,2,3,0.515,9.8542,conservative
ATP_MAIN,64,r55_64,180,1,2,3,0.534,9.8542,conservative
ATP_MAIN,65,r65_74,240,1,1,3,0.542,4.0085,conservative
ATP_MAIN,66,r65_74,240,1,1,3,0.539,4.0085,conservative
ATP_MAIN,67,r65_74,240,1,1,3,0.521,4.0085,conservative
ATP_MAIN,68,r65_74,240,1,1,3,0.52,4.0085,conservative
ATP_MAIN,69,r65_74,240,1,1,3,0.531,4.0085,conservative
ATP_MAIN,70,r65_74,240,1,1,3,0.552,4.0085,conservative
ATP_MAIN,71,r65_74,240,1,1,3,0.57,4.0085,conservative
ATP_MAIN,72,r65_74,240,1,1,3,0.565,4.0085,conservative
ATP_MAIN,73,r65_74,240,1,1,3,0.545,4.0085,conservative
ATP_MAIN,74,r65_74,240,1,1,3,0.526,4.0085,conservative
ATP_MAIN,75,r75_84,180,1,3,3,0.528,4.0863,conservative
ATP_MAIN,76,r75_84,180,1,3,3,0.541,4.0863,conservative
