ticker_idx,cell,regime,anchor,offset,match_start_ts
1352217,32,r25_34,32,3,1768281180.0
1352381,54,r45_54,54,2,1768281180.0
1352987,25,r25_34,25,2,1768287240.0
1352840,75,r75_84,75,4,1768287240.0
1352693,40,r35_44,40,3,1768289760.0
1352541,64,r55_64,64,2,1768289760.0
1363767,46,r45_54,46,4,1768290780.0
1363936,60,r55_64,60,2,1768290780.0
1364818,21,r15_24,21,2,1768292400.0
1364945,83,r75_84,83,3,1768292400.0
1355029,60,r55_64,60,3,1768295940.0
1354885,43,r35_44,43,3,1768295940.0
1362786,33,r25_34,33,2,1768296600.0
1353773,38,r35_44,38,3,1768298760.0
1363242,57,r55_64,57,2,1768300500.0
1364581,40,r35_44,40,2,1768303140.0
1364411,62,r55_64,62,2,1768303140.0
1356244,36,r35_44,36,2,1768303200.0
1356112,68,r65_74,68,2,1768303200.0
1357653,36,r35_44,36,2,1768308660.0
1357504,68,r65_74,68,4,1768308660.0
1359375,56,r55_64,56,2,1768308960.0
1354195,35,r35_44,35,2,1768311180.0
1363404,38,r35_44,38,2,1768311600.0
1363579,65,r65_74,65,2,1768311600.0
1355955,65,r65_74,65,2,1768312140.0
1355804,39,r35_44,39,2,1768312140.0
1354668,62,r55_64,62,2,1768312320.0
1359778,54,r45_54,54,2,1768314180.0
1356820,49,r45_54,49,2,1768315620.0
1362579,38,r35_44,38,2,1768316340.0
1360903,31,r25_34,31,2,1768316580.0
1356374,54,r45_54,54,3,1768318140.0
1356594,50,r45_54,50,2,1768318140.0
1362094,59,r55_64,59,4,1768320600.0
1361840,47,r45_54,47,2,1768320600.0
1357808,32,r25_34,32,2,1768323900.0
1358015,71,r65_74,71,2,1768323900.0
1360010,30,r25_34,30,2,1768324440.0
1361263,42,r35_44,42,4,1768326840.0
1358474,40,r35_44,40,3,1768329480.0
1358699,12,r05_14,12,2,1768333020.0
1359047,92,r85_94,92,2,1768333020.0
1355485,57,r55_64,57,3,1768334280.0
1360747,46,r45_54,46,5,1768374600.0
1360580,60,r55_64,60,4,1768374600.0
1366079,54,r45_54,54,6,1768381800.0
1366952,36,r35_44,36,2,1768388820.0
1367080,69,r65_74,69,2,1768388820.0
1367727,75,r75_84,75,2,1768389000.0
1367948,29,r25_34,29,2,1768389000.0
1370306,39,r35_44,39,2,1768392180.0
1370062,65,r65_74,65,2,1768392180.0
