cell,N,avg_duration_h,median_duration_h,pct_lt2h,pct_2_6h,pct_6_12h,pct_gt12h
ATP_CHALL_leader_50-54,119,14.6,13.1,0.0,8.4,26.1,65.5
ATP_CHALL_leader_55-59,145,13.8,12.7,1.4,7.6,33.1,57.9
ATP_CHALL_leader_60-64,129,15.1,13.3,1.6,7.8,27.1,63.6
ATP_CHALL_leader_65-69,131,13.3,12.8,0.0,6.1,34.4,59.5
ATP_CHALL_leader_70-74,99,12.9,13.0,2.0,5.1,28.3,64.6
ATP_CHALL_leader_75-79,89,12.4,12.5,1.1,6.7,32.6,59.6
ATP_CHALL_leader_80-84,79,11.5,11.8,0.0,11.4,40.5,48.1
ATP_CHALL_leader_85-89,62,14.4,12.4,1.6,8.1,33.9,56.5
ATP_CHALL_underdog_10-14,38,13.2,11.5,0.0,7.9,44.7,47.4
ATP_CHALL_underdog_15-19,65,11.8,12.3,0.0,13.8,33.8,52.3
ATP_CHALL_underdog_20-24,70,11.9,12.5,1.4,7.1,35.7,55.7
ATP_CHALL_underdog_25-29,91,13.2,12.6,0.0,3.3,36.3,60.4
ATP_CHALL_underdog_30-34,101,13.6,13.1,1.0,4.0,33.7,61.4
ATP_CHALL_underdog_35-39,132,14.1,12.9,1.5,9.1,31.8,57.6
ATP_CHALL_underdog_40-44,139,13.2,12.8,2.2,6.5,29.5,61.9
ATP_CHALL_underdog_45-49,134,14.8,13.0,0.0,7.5,29.1,63.4
ATP_MAIN_leader_50-54,43,27.6,20.9,4.7,0.0,0.0,95.3
ATP_MAIN_leader_55-59,27,29.4,23.2,3.7,3.7,0.0,92.6
ATP_MAIN_leader_60-64,31,33.4,29.3,0.0,0.0,3.2,96.8
ATP_MAIN_leader_70-74,60,33.5,27.8,1.7,0.0,1.7,96.7
ATP_MAIN_leader_75-79,12,30.7,24.7,0.0,0.0,8.3,91.7
ATP_MAIN_underdog_20-24,11,34.2,25.6,0.0,0.0,0.0,100.0
ATP_MAIN_underdog_25-29,20,27.7,27.2,0.0,0.0,10.0,90.0
ATP_MAIN_underdog_30-34,36,33.2,29.9,2.8,0.0,0.0,97.2
ATP_MAIN_underdog_35-39,23,33.8,31.3,4.3,4.3,4.3,87.0
ATP_MAIN_underdog_40-44,37,31.3,27.7,0.0,2.7,2.7,94.6
ATP_MAIN_underdog_45-49,40,27.8,21.9,0.0,2.5,2.5,95.0
WTA_CHALL_leader_55-59,14,13.5,12.0,0.0,0.0,57.1,42.9
WTA_CHALL_underdog_40-44,16,12.0,11.3,0.0,12.5,50.0,37.5
WTA_MAIN_leader_50-54,43,26.1,24.6,0.0,0.0,0.0,100.0
WTA_MAIN_leader_55-59,31,24.9,22.7,0.0,0.0,0.0,100.0
WTA_MAIN_leader_60-64,20,27.4,24.7,0.0,0.0,5.0,95.0
WTA_MAIN_leader_65-69,26,25.6,24.4,0.0,0.0,7.7,92.3
WTA_MAIN_leader_70-74,17,23.8,19.0,0.0,0.0,5.9,94.1
WTA_MAIN_underdog_25-29,19,23.3,20.4,0.0,0.0,0.0,100.0
WTA_MAIN_underdog_30-34,18,22.0,20.5,0.0,0.0,5.6,94.4
WTA_MAIN_underdog_35-39,29,26.5,23.0,0.0,0.0,10.3,89.7
WTA_MAIN_underdog_40-44,21,24.8,21.0,0.0,0.0,4.8,95.2
WTA_MAIN_underdog_45-49,29,24.0,21.7,0.0,0.0,6.9,93.1
