ticker,cell,fill_price,anchor_source,play_type,ts
KXATPCHALLENGERMATCH-26APR24ERESTE-STE,ATP_CHALL_underdog_40-44,48,,C_discount,2026-04-24 02:21:26 PM ET
KXATPCHALLENGERMATCH-26APR24BAXHEM-BAX,ATP_CHALL_underdog_35-39,38,,C_discount,2026-04-24 02:55:57 PM ET
KXATPCHALLENGERMATCH-26APR24CHABEN-BEN,ATP_CHALL_leader_55-59,57,,C_discount,2026-04-24 03:38:06 PM ET
KXATPCHALLENGERMATCH-26APR24KWONHSU-HSU,ATP_CHALL_underdog_25-29,28,,C_discount,2026-04-24 10:06:06 PM ET
KXATPCHALLENGERMATCH-26APR24HOLRIE-HOL,ATP_CHALL_underdog_25-29,38,,C_discount,2026-04-24 10:17:23 PM ET
KXATPCHALLENGERMATCH-26APR25SKAFOM-FOM,ATP_CHALL_underdog_20-24,23,,C_discount,2026-04-25 02:09:33 AM ET
KXATPMATCH-26APR24CERHAN-HAN,ATP_MAIN_underdog_30-34,28,,C_discount,2026-04-25 02:10:01 AM ET
KXWTAMATCH-26APR25BENSHN-BEN,WTA_MAIN_leader_60-64,61,,C_discount,2026-04-25 02:26:06 AM ET
KXATPMATCH-26APR24MUNRUU-MUN,ATP_MAIN_underdog_30-34,30,,C_discount,2026-04-25 02:33:47 AM ET
KXWTAMATCH-26APR25SAMBON-BON,WTA_MAIN_leader_70-74,74,,C_discount,2026-04-25 02:33:51 AM ET
KXWTAMATCH-26APR25BENSHN-SHN,WTA_MAIN_underdog_35-39,38,,C_discount,2026-04-25 02:50:34 AM ET
KXATPMATCH-26APR24DAVCAR-CAR,ATP_MAIN_underdog_35-39,35,,C_discount,2026-04-25 02:51:07 AM ET
KXATPMATCH-26APR24CERHAN-CER,ATP_MAIN_leader_70-74,71,,C_discount,2026-04-25 02:59:35 AM ET
KXWTAMATCH-26APR25FERJOV-FER,WTA_MAIN_underdog_35-39,39,,C_discount,2026-04-25 03:16:14 AM ET
KXATPMATCH-26APR24HUMATM-HUM,ATP_MAIN_underdog_40-44,44,,C_discount,2026-04-25 04:09:45 AM ET
KXATPMATCH-26APR24NAKBLO-NAK,ATP_MAIN_underdog_40-44,41,,C_discount,2026-04-25 04:55:08 AM ET
KXATPMATCH-26APR25CERDAR-CER,ATP_MAIN_underdog_35-39,40,,C_discount,2026-04-25 05:39:16 AM ET
KXATPMATCH-26APR24GAUAUG-GAU,ATP_MAIN_underdog_20-24,23,,C_discount,2026-04-25 05:59:56 AM ET
KXWTAMATCH-26APR25BAPPAO-BAP,WTA_MAIN_underdog_40-44,41,,C_discount,2026-04-25 08:54:29 AM ET
KXATPMATCH-26APR24BUBTSI-TSI,ATP_MAIN_underdog_35-39,37,,C_discount,2026-04-25 11:36:39 AM ET
KXATPCHALLENGERMATCH-26APR25ONCHEM-ONC,ATP_CHALL_leader_70-74,70,,C_discount,2026-04-25 12:20:23 PM ET
KXATPCHALLENGERMATCH-26APR25CHASTE-STE,ATP_CHALL_leader_65-69,65,,C_discount,2026-04-25 12:48:05 PM ET
KXWTAMATCH-26APR25KALOSA-OSA,WTA_MAIN_leader_60-64,58,,C_discount,2026-04-25 01:01:33 PM ET
KXATPCHALLENGERMATCH-26APR25PEAPEL-PEA,ATP_CHALL_underdog_35-39,39,,C_discount,2026-04-25 07:35:13 PM ET
KXATPCHALLENGERMATCH-26APR25HOLKWON-HOL,ATP_CHALL_underdog_30-34,30,,C_discount,2026-04-25 09:33:34 PM ET
KXATPCHALLENGERMATCH-26APR25HOLKWON-KWON,ATP_CHALL_leader_70-74,72,,C_discount,2026-04-25 09:44:56 PM ET
KXATPMATCH-26APR26PRIETC-ETC,ATP_MAIN_leader_50-54,53,,C_discount,2026-04-25 09:57:21 PM ET
KXATPMATCH-26APR26LEHMIC-LEH,ATP_MAIN_leader_70-74,69,,C_discount,2026-04-25 11:15:46 PM ET
KXATPCHALLENGERMATCH-26APR26SHAJON-JON,ATP_CHALL_underdog_10-14,10,,C_discount,2026-04-25 11:20:17 PM ET
KXWTAMATCH-26APR26PEGKOS-PEG,WTA_MAIN_leader_55-59,58,,C_discount,2026-04-25 11:21:58 PM ET
KXATPCHALLENGERMATCH-26APR26ILACHE-CHE,ATP_CHALL_underdog_10-14,10,,C_discount,2026-04-25 11:33:06 PM ET
KXATPMATCH-26APR26LEHMIC-MIC,ATP_MAIN_underdog_30-34,31,,C_discount,2026-04-25 11:40:35 PM ET
KXATPMATCH-26APR26PRIETC-PRI,ATP_MAIN_underdog_45-49,47,,C_discount,2026-04-25 11:50:44 PM ET
