cell,avg_entry,current_exit,optimal_exit,N,daily_entry_rate,current_scalp_rate_pct,current_ev_per_entry,current_daily_dollar,optimal_scalp_rate_pct,optimal_ev_per_entry,optimal_daily_dollar,direction,inverse_cell,inverse_status,optimal_ci_lower,optimal_ci_upper,confidence_flag
ATP_CHALL_leader_50-54,51.9,15,7,119,2.12,74.8,-0.1588,-0.3375,86.6,-0.0782,-0.1661,leader,ATP_CHALL_underdog_45-49,ACTIVE,-0.4330,0.2767,LOW
ATP_CHALL_leader_55-59,56.9,20,17,145,2.59,75.2,0.1193,0.3089,80.0,0.2448,0.6339,leader,ATP_CHALL_underdog_40-44,ACTIVE,-0.2290,0.7186,LOW
ATP_CHALL_leader_60-64,62.1,6,26,129,2.30,96.1,0.4178,0.9625,78.3,0.7868,1.8125,leader,ATP_CHALL_underdog_35-39,ACTIVE,0.1743,1.3993,HIGH
ATP_CHALL_leader_65-69,66.9,30,17,131,2.34,69.5,0.0885,0.2071,80.9,0.1267,0.2964,leader,ATP_CHALL_underdog_30-34,disabled,-0.4282,0.6816,LOW
ATP_CHALL_leader_70-74,72.0,25,19,99,1.77,80.8,0.7586,1.3411,86.9,0.8152,1.4411,leader,ATP_CHALL_underdog_25-29,disabled,0.2352,1.3951,HIGH
ATP_CHALL_leader_75-79,76.8,10,7,89,1.59,88.8,0.0360,0.0571,93.3,0.1461,0.2321,leader,ATP_CHALL_underdog_20-24,ACTIVE,-0.2820,0.5741,LOW
ATP_CHALL_leader_80-84,82.0,15,12,79,1.41,84.8,0.0405,0.0571,88.6,0.1367,0.1929,leader,ATP_CHALL_underdog_15-19,disabled,-0.5173,0.7907,LOW
ATP_CHALL_leader_85-89,86.0,7,6,62,1.11,91.9,-0.0484,-0.0536,93.5,0.0097,0.0107,leader,ATP_CHALL_underdog_10-14,ACTIVE,-0.5499,0.5693,LOW
ATP_CHALL_underdog_10-14,11.9,30,35,38,0.68,36.8,0.3974,0.2696,34.2,0.4658,0.3161,underdog,ATP_CHALL_leader_85-89,ACTIVE,-0.2309,1.1624,LOW
ATP_CHALL_underdog_15-19,17.2,31,42,65,1.16,43.1,0.4292,0.4982,38.5,0.6277,0.7286,underdog,ATP_CHALL_leader_80-84,ACTIVE,-0.0593,1.3147,MED
ATP_CHALL_underdog_20-24,22.2,15,65,70,1.25,60.0,0.0614,0.0768,31.4,0.6057,0.7571,underdog,ATP_CHALL_leader_75-79,ACTIVE,-0.3295,1.5410,LOW
ATP_CHALL_underdog_25-29,26.7,21,18,91,1.62,53.8,0.0527,0.0857,59.3,0.1341,0.2179,underdog,ATP_CHALL_leader_70-74,ACTIVE,-0.3298,0.5980,LOW
ATP_CHALL_underdog_35-39,36.9,11,33,132,2.36,75.0,-0.0727,-0.1714,54.5,0.1659,0.3911,underdog,ATP_CHALL_leader_60-64,disabled,-0.4200,0.7518,LOW
ATP_CHALL_underdog_40-44,41.7,30,27,139,2.48,62.6,0.3619,0.8982,66.9,0.4683,1.1625,underdog,ATP_CHALL_leader_55-59,ACTIVE,-0.0593,0.9960,MED
ATP_CHALL_underdog_45-49,46.8,13,48,134,2.39,73.9,-0.2388,-0.5714,54.5,0.5261,1.2589,underdog,ATP_CHALL_leader_50-54,ACTIVE,-0.2657,1.3179,LOW
ATP_MAIN_leader_50-54,51.7,12,40,43,0.77,74.4,-0.3930,-0.3018,58.1,0.2256,0.1732,leader,ATP_MAIN_underdog_45-49,ACTIVE,-1.1042,1.5554,LOW
ATP_MAIN_leader_60-64,61.7,15,26,31,0.55,80.6,0.0419,0.0232,77.4,0.6419,0.3554,leader,ATP_MAIN_underdog_35-39,disabled,-0.6347,1.9186,LOW
