cell,real_N,real_avg_fill,real_scalp_WR,real_pnl_per_fill,real_daily_pnl,analysis_ROI,analysis_EV_per_fill,analysis_Sl,delta_pnl_per_fill,assessment
ATP_CHALL_leader_50-54,4,52.0,50,-18.00,-7.20,-3.1,-0.161,0.538,-17.84,REAL_WORSE
ATP_CHALL_leader_55-59,9,56.4,78,-0.56,-0.50,2.0,0.115,0.493,-0.67,REAL_WORSE
ATP_CHALL_leader_60-64,1,64.0,100,30.00,3.00,6.8,0.420,0.900,29.58,TOO_FEW_FILLS
ATP_CHALL_leader_65-69,5,66.8,100,25.00,12.50,1.1,0.072,0.091,24.93,REAL_BETTER
ATP_CHALL_leader_70-74,8,72.4,75,-7.12,-5.70,11.6,0.834,0.000,-7.96,REAL_WORSE
ATP_CHALL_leader_75-79,3,78.7,50,-22.67,-6.80,0.5,0.036,0.583,-22.70,REAL_WORSE
ATP_CHALL_leader_80-84,4,81.5,100,15.00,6.00,1.4,0.117,0.214,14.88,REAL_BETTER
ATP_CHALL_leader_85-89,1,85.0,100,7.00,0.70,-0.5,-0.042,0.583,7.04,TOO_FEW_FILLS
ATP_CHALL_leader_90-94,1,91.0,0,8.00,0.80,,,,,TOO_FEW_FILLS
ATP_CHALL_underdog_10-14,5,11.2,25,-0.20,-0.10,35.1,0.417,0.333,-0.62,REAL_WORSE
ATP_CHALL_underdog_15-19,0,,,,,24.1,0.414,0.315,,NO_LIVE_DATA
ATP_CHALL_underdog_20-24,10,21.9,56,0.35,0.35,2.3,0.051,0.451,0.30,CONSISTENT
ATP_CHALL_underdog_25-29,4,27.5,25,-15.25,-6.10,0.4,0.011,0.438,-15.26,REAL_WORSE
ATP_CHALL_underdog_30-34,3,31.0,67,0.00,0.00,-7.4,-0.239,0.531,0.24,CONSISTENT
ATP_CHALL_underdog_35-39,8,37.9,100,13.38,10.70,-2.0,-0.073,0.641,13.45,REAL_BETTER
ATP_CHALL_underdog_40-44,4,42.0,67,1.00,0.40,8.8,0.367,0.362,0.63,REAL_BETTER
ATP_CHALL_underdog_45-49,6,47.5,80,-3.15,-1.89,-5.1,-0.237,0.435,-2.91,REAL_WORSE
ATP_MAIN_leader_50-54,2,53.5,100,6.00,1.20,-7.8,-0.403,0.542,6.40,TOO_FEW_FILLS
ATP_MAIN_leader_55-59,1,59.0,0,-58.00,-5.80,-9.6,-0.548,0.333,-57.45,TOO_FEW_FILLS
ATP_MAIN_leader_60-64,0,,,,,0.6,0.034,0.400,,NO_LIVE_DATA
ATP_MAIN_leader_65-69,1,69.0,100,17.00,1.70,,,,,TOO_FEW_FILLS
ATP_MAIN_leader_70-74,1,71.0,100,17.00,1.70,1.1,0.082,0.312,16.92,TOO_FEW_FILLS
ATP_MAIN_leader_75-79,0,,,,,-1.3,-0.104,0.000,,NO_LIVE_DATA
ATP_MAIN_underdog_20-24,2,21.5,0,-20.00,-4.00,-20.3,-0.456,0.222,-19.54,TOO_FEW_FILLS
