cell_A,cell_A_status,cell_B_inverse,cell_B_status,N_events_both_filled,pair_completion_rate_pct,joint_pnl_when_paired,joint_variance,solo_A_ev,solo_B_ev
ATP_CHALL_leader_50-54,ACTIVE,ATP_CHALL_underdog_45-49,ACTIVE,49,37.4,0.137,19.449,-0.078,0.526
ATP_CHALL_leader_55-59,ACTIVE,ATP_CHALL_underdog_40-44,ACTIVE,53,36.6,1.351,12.163,0.245,0.468
ATP_CHALL_leader_60-64,disabled,ATP_CHALL_underdog_35-39,ACTIVE,50,37.9,0.974,12.974,0.787,0.166
ATP_CHALL_leader_65-69,ACTIVE,ATP_CHALL_underdog_30-34,disabled,43,32.8,0.600,9.010,0.127,-0.170
ATP_CHALL_leader_70-74,ACTIVE,ATP_CHALL_underdog_25-29,disabled,41,41.4,0.576,9.244,0.815,0.134
ATP_CHALL_leader_75-79,ACTIVE,ATP_CHALL_underdog_20-24,ACTIVE,32,36.0,1.256,16.073,0.146,0.606
ATP_CHALL_leader_80-84,ACTIVE,ATP_CHALL_underdog_15-19,disabled,31,39.2,1.026,8.536,0.137,0.628
ATP_CHALL_leader_85-89,ACTIVE,ATP_CHALL_underdog_10-14,ACTIVE,14,22.6,1.071,5.102,0.010,0.466
ATP_MAIN_leader_50-54,ACTIVE,ATP_MAIN_underdog_45-49,ACTIVE,9,22.5,1.989,18.137,0.226,0.027
ATP_MAIN_leader_60-64,disabled,ATP_MAIN_underdog_35-39,disabled,4,12.9,0.875,13.382,0.642,2.100
ATP_MAIN_leader_70-74,ACTIVE,ATP_MAIN_underdog_25-29,disabled,15,25.0,1.493,10.138,0.165,0.615
ATP_MAIN_underdog_30-34,ACTIVE,ATP_MAIN_leader_65-69,no_config,0,0.0,,,0.264,
ATP_MAIN_underdog_40-44,disabled,ATP_MAIN_leader_55-59,disabled,7,18.9,-2.614,18.050,0.035,-0.085
WTA_CHALL_leader_55-59,ACTIVE,WTA_CHALL_underdog_40-44,ACTIVE,6,37.5,-1.300,0.880,-1.836,1.181
WTA_MAIN_leader_50-54,ACTIVE,WTA_MAIN_underdog_45-49,ACTIVE,9,25.0,1.644,7.429,0.679,0.452
WTA_MAIN_leader_60-64,disabled,WTA_MAIN_underdog_35-39,disabled,8,27.6,0.638,9.795,0.625,0.200
WTA_MAIN_leader_65-69,ACTIVE,WTA_MAIN_underdog_30-34,disabled,4,15.4,3.500,0.000,1.631,0.272
WTA_MAIN_leader_70-74,ACTIVE,WTA_MAIN_underdog_25-29,ACTIVE,4,21.1,2.900,3.630,0.124,0.326
WTA_MAIN_leader_80-84,ACTIVE,WTA_MAIN_underdog_15-19,disabled,2,22.2,4.800,0.000,-1.500,0.478
WTA_MAIN_leader_85-89,ACTIVE,WTA_MAIN_underdog_10-14,no_config,0,0.0,,,-2.362,
