exit_target,wr_pct,win_rate_pct,avg_cost_basis_c,roi_pct,ev_per_trade_dollars,n_trades,n_sold
+3c,92.6,92.6,73.8,2.49,0.152,27,25
+4c,92.6,92.6,77.9,3.93,0.283,27,25
+5c,88.9,88.9,78.9,1.35,0.019,27,24
+6c,85.2,85.2,80.0,-1.33,-0.254,27,23
+7c,85.2,85.2,80.0,-0.04,-0.152,27,23
+8c,85.2,85.2,80.0,1.25,-0.05,27,23
+9c,77.8,77.8,82.0,-5.87,-0.715,27,21
+10c,77.8,77.8,83.0,-4.65,-0.602,27,21
+11c,74.1,74.1,83.0,-7.81,-0.922,27,20
+12c,74.1,74.1,83.0,-6.68,-0.831,27,20
+13c,70.4,70.4,83.0,-10.03,-1.163,27,19
+14c,70.4,70.4,83.0,-8.96,-1.078,27,19
+15c,66.7,66.7,84.1,-12.41,-1.404,27,18
+16c,63.0,63.0,84.1,-16.03,-1.767,27,17
+17c,63.0,63.0,84.1,-15.08,-1.691,27,17
+18c,63.0,63.0,85.1,-14.06,-1.581,27,17
+19c,63.0,63.0,85.1,-13.1,-1.504,27,17
+20c,59.3,59.3,85.1,-17.04,-1.881,27,16
+21c,59.3,59.3,85.1,-16.15,-1.809,27,16
+22c,59.3,59.3,85.1,-15.25,-1.737,27,16
+23c,55.6,55.6,87.2,-19.23,-2.063,27,15
+24c,55.6,55.6,87.2,-18.38,-1.993,27,15
+25c,55.6,55.6,87.2,-17.53,-1.922,27,15
+26c,51.9,51.9,87.2,-21.89,-2.352,27,14
+27c,51.9,51.9,87.2,-21.1,-2.287,27,14
+28c,51.9,51.9,87.2,-20.32,-2.222,27,14
+29c,51.9,51.9,87.2,-19.53,-2.157,27,14
+30c,51.9,51.9,87.2,-18.74,-2.093,27,14
hold99,51.9,51.9,87.2,-16.15,-1.857,27,14
