exit_target,wr_pct,win_rate_pct,avg_cost_basis_c,roi_pct,ev_per_trade_dollars,n_trades,n_sold
+3c,78.6,78.6,42.9,-12.03,-0.584,28,22
+4c,75.0,75.0,43.1,-14.01,-0.682,28,21
+5c,75.0,75.0,43.1,-12.15,-0.604,28,21
+6c,75.0,75.0,43.1,-10.3,-0.525,28,21
+7c,67.9,67.9,43.5,-13.33,-0.668,28,19
+8c,67.9,67.9,43.5,-11.65,-0.596,28,19
+9c,67.9,67.9,43.5,-9.96,-0.525,28,19
+10c,67.9,67.9,43.5,-8.28,-0.454,28,19
+11c,67.9,67.9,43.5,-6.6,-0.382,28,19
+12c,67.9,67.9,43.5,-4.91,-0.311,28,19
+13c,60.7,60.7,43.9,-12.58,-0.675,28,17
+14c,60.7,60.7,43.9,-11.07,-0.611,28,17
+15c,60.7,60.7,43.9,-9.56,-0.546,28,17
+16c,57.1,57.1,44.2,-12.97,-0.711,28,16
+17c,50.0,53.6,44.6,-17.26,-0.9,28,14
+18c,50.0,53.6,44.6,-16.01,-0.846,28,14
+19c,50.0,53.6,44.6,-14.75,-0.793,28,14
+20c,50.0,53.6,44.6,-13.49,-0.739,28,14
+21c,50.0,53.6,44.6,-12.24,-0.686,28,14
+22c,50.0,53.6,44.6,-10.98,-0.632,28,14
+23c,50.0,53.6,44.6,-9.73,-0.579,28,14
+24c,50.0,53.6,44.6,-8.47,-0.525,28,14
+25c,50.0,53.6,44.6,-7.21,-0.471,28,14
+26c,50.0,53.6,44.6,-5.96,-0.418,28,14
+27c,50.0,53.6,44.6,-4.7,-0.364,28,14
+28c,50.0,53.6,44.6,-3.45,-0.311,28,14
+29c,50.0,53.6,44.6,-2.19,-0.257,28,14
+30c,46.4,50.0,44.8,-7.12,-0.477,28,13
hold99,28.6,35.7,45.4,-13.32,-0.855,28,8
