exit_target,wr_pct,win_rate_pct,avg_cost_basis_c,roi_pct,ev_per_trade_dollars,n_trades,n_sold
+3c,100.0,100.0,43.7,8.51,0.375,6,6
+4c,100.0,100.0,43.7,11.35,0.5,6,6
+5c,100.0,100.0,43.7,14.19,0.625,6,6
+6c,83.3,83.3,45.7,-2.2,-0.2,6,5
+7c,83.3,83.3,45.7,0.21,-0.092,6,5
+8c,83.3,83.3,45.7,2.62,0.017,6,5
+9c,83.3,83.3,45.7,5.03,0.125,6,5
+10c,83.3,83.3,45.7,7.44,0.233,6,5
+11c,83.3,83.3,45.7,9.85,0.342,6,5
+12c,83.3,83.3,45.7,12.26,0.45,6,5
+13c,83.3,83.3,45.7,14.67,0.558,6,5
+14c,83.3,83.3,45.7,17.08,0.667,6,5
+15c,66.7,66.7,47.7,-3.58,-0.325,6,4
+16c,66.7,66.7,47.7,-1.6,-0.233,6,4
+17c,66.7,66.7,47.7,0.38,-0.142,6,4
+18c,66.7,66.7,47.7,2.37,-0.05,6,4
+19c,66.7,66.7,47.7,4.35,0.042,6,4
+20c,66.7,66.7,47.7,6.33,0.133,6,4
+21c,66.7,66.7,47.7,8.32,0.225,6,4
+22c,66.7,66.7,47.7,10.3,0.317,6,4
+23c,66.7,66.7,47.7,12.28,0.408,6,4
+24c,66.7,66.7,47.7,14.27,0.5,6,4
+25c,66.7,66.7,47.7,16.25,0.592,6,4
+26c,66.7,66.7,47.7,18.23,0.683,6,4
+27c,66.7,66.7,47.7,20.22,0.775,6,4
+28c,66.7,66.7,47.7,22.2,0.867,6,4
+29c,66.7,66.7,47.7,24.18,0.958,6,4
+30c,66.7,66.7,47.7,26.17,1.05,6,4
hold99,50.0,50.0,49.5,51.76,2.475,6,3
