exit_target,wr_pct,win_rate_pct,avg_cost_basis_c,roi_pct,ev_per_trade_dollars,n_trades,n_sold
+3c,92.3,92.3,71.4,3.35,0.238,13,12
+4c,84.6,84.6,73.1,-3.48,-0.415,13,11
+5c,76.9,84.6,74.8,-2.33,-0.319,13,10
+6c,76.9,84.6,74.8,-1.24,-0.238,13,10
+7c,76.9,84.6,74.8,-0.15,-0.158,13,10
+8c,76.9,84.6,74.8,0.94,-0.077,13,10
+9c,76.9,84.6,74.8,2.03,0.004,13,10
+10c,76.9,84.6,74.8,3.13,0.085,13,10
+11c,76.9,84.6,76.5,4.38,0.208,13,10
+12c,76.9,84.6,76.5,5.49,0.292,13,10
+13c,76.9,84.6,76.5,6.6,0.377,13,10
+14c,76.9,84.6,76.5,7.7,0.462,13,10
+15c,76.9,84.6,78.3,9.04,0.604,13,10
+16c,76.9,84.6,80.0,10.4,0.754,13,10
+17c,76.9,84.6,81.7,11.81,0.912,13,10
+18c,76.9,84.6,81.7,12.96,1.008,13,10
+19c,76.9,84.6,81.7,14.11,1.104,13,10
+20c,76.9,84.6,81.7,15.27,1.2,13,10
+21c,76.9,84.6,81.7,16.42,1.296,13,10
+22c,76.9,84.6,81.7,17.57,1.392,13,10
+23c,76.9,84.6,81.7,18.73,1.488,13,10
+24c,76.9,84.6,81.7,19.88,1.585,13,10
+25c,76.9,84.6,81.7,21.03,1.681,13,10
+26c,76.9,84.6,81.7,22.18,1.777,13,10
+27c,76.9,84.6,81.7,23.34,1.873,13,10
+28c,76.9,84.6,81.7,24.28,1.954,13,10
+29c,76.9,84.6,81.7,25.0,2.019,13,10
+30c,76.9,84.6,81.7,25.61,2.077,13,10
hold99,76.9,84.6,81.7,29.41,2.435,13,10
